enquiry_id,first_response_minutes,handling_minutes,resolution,csat,reopened,needed_translation_help
ENQ-0493,525,12,Resolved,2.5,False,False
ENQ-0586,117,33,Resolved,,True,False
ENQ-0607,183,11,Resolved,,False,False
ENQ-0676,102,11,Resolved,,False,False
ENQ-0705,531,25,Resolved,2.5,False,False
ENQ-0809,87,26,Resolved,,False,True
ENQ-0870,98,17,Resolved,5.0,False,True
ENQ-0876,436,8,Resolved,,False,False
ENQ-0883,757,30,Resolved,2.7,False,False
ENQ-0899,104,12,Resolved,,False,False
ENQ-0008,137,22,Resolved,2.6,False,True
ENQ-0029,279,19,Resolved,,False,True
ENQ-0064,211,36,Resolved,3.2,False,False
ENQ-0072,78,11,Resolved,,False,False
ENQ-0097,72,22,Resolved,,False,False
ENQ-0118,92,14,Resolved,4.2,False,True
ENQ-0174,57,12,Resolved,3.2,False,False
ENQ-0209,102,12,Escalated,,False,False
ENQ-0233,116,9,Escalated,,False,False
ENQ-0251,200,23,Resolved,,False,False
ENQ-0258,46,12,Resolved,,False,False
ENQ-0275,94,22,Resolved,,False,True
ENQ-0308,90,19,Resolved,3.8,False,False
ENQ-0366,148,3,Resolved,,False,False
ENQ-0377,351,16,Resolved,,False,False
ENQ-0408,71,8,Resolved,4.5,False,False
ENQ-0418,216,20,Escalated,5.0,False,False
ENQ-0458,89,25,Resolved,,False,False
ENQ-0513,665,23,Resolved,,False,True
ENQ-0629,255,46,Escalated,,False,True
ENQ-0633,414,23,Resolved,4.3,False,True
ENQ-0651,125,36,Resolved,5.0,False,True
ENQ-0704,72,19,Escalated,,False,False
ENQ-0835,37,13,Resolved,,False,False
ENQ-0874,31,11,Resolved,3.4,False,False
ENQ-0065,257,17,Resolved,,False,True
ENQ-0070,160,11,Resolved,,False,True
ENQ-0144,228,13,Resolved,2.5,False,False
ENQ-0175,80,22,Resolved,5.0,False,False
ENQ-0192,310,16,Resolved,,False,False
ENQ-0215,59,37,Resolved,,False,True
ENQ-0235,125,19,Escalated,3.7,True,False
ENQ-0262,348,38,Resolved,4.3,False,True
ENQ-0263,268,19,Resolved,3.2,False,False
ENQ-0338,78,11,Resolved,,False,True
ENQ-0390,1031,31,Resolved,2.5,False,True
ENQ-0413,229,11,Resolved,4.5,False,False
ENQ-0431,152,12,Resolved,,False,True
ENQ-0462,81,7,Resolved,,False,False
ENQ-0471,635,14,Resolved,,False,False
ENQ-0558,290,24,Resolved,,False,True
ENQ-0566,294,11,Resolved,,False,False
ENQ-0567,247,15,Escalated,2.7,False,False
ENQ-0577,94,19,Resolved,2.8,False,True
ENQ-0583,92,22,Resolved,4.6,False,False
ENQ-0587,383,22,Resolved,,False,True
ENQ-0596,198,12,Resolved,,False,False
ENQ-0621,45,16,Resolved,3.6,False,False
ENQ-0624,127,3,Resolved,,False,False
ENQ-0666,738,15,Resolved,,False,False
ENQ-0681,273,21,Resolved,,False,True
ENQ-0708,236,21,Resolved,,False,False
ENQ-0762,119,34,Resolved,4.5,False,False
ENQ-0793,137,38,Resolved,4.1,False,True
ENQ-0820,285,12,Resolved,,False,False
ENQ-0833,193,14,Resolved,,False,False
ENQ-0842,87,6,Resolved,3.6,False,True
ENQ-0006,273,13,Resolved,,False,False
ENQ-0010,29,8,Resolved,,False,False
ENQ-0043,206,40,Resolved,,False,True
ENQ-0104,701,16,Resolved,3.1,False,False
ENQ-0111,157,24,Resolved,,False,False
ENQ-0136,95,39,Resolved,,False,False
ENQ-0138,256,13,Resolved,3.0,False,True
ENQ-0154,270,41,Resolved,4.5,False,False
ENQ-0237,165,21,Resolved,,False,True
ENQ-0248,299,16,Resolved,,False,False
ENQ-0293,235,15,Resolved,,False,False
ENQ-0317,77,19,Resolved,4.1,False,False
ENQ-0327,52,19,Resolved,,False,False
ENQ-0370,385,11,Resolved,,False,False
ENQ-0385,341,4,Escalated,3.9,False,True
ENQ-0392,1279,11,Resolved,,False,False
ENQ-0407,53,33,Escalated,,False,False
ENQ-0481,736,13,Resolved,,False,True
ENQ-0496,324,10,Resolved,,False,False
ENQ-0505,137,20,Resolved,1.9,False,False
ENQ-0506,66,19,Resolved,,False,False
ENQ-0562,348,9,Resolved,,False,False
ENQ-0569,346,35,Resolved,,False,True
ENQ-0723,794,21,Resolved,2.4,False,False
ENQ-0796,429,22,Resolved,,False,False
ENQ-0800,209,18,Resolved,,False,False
ENQ-0815,251,9,Resolved,,False,False
ENQ-0871,122,28,Resolved,,False,False
ENQ-0058,61,14,Resolved,4.4,False,False
ENQ-0119,124,24,Escalated,,False,True
ENQ-0182,687,20,Resolved,,False,True
ENQ-0187,553,42,Resolved,,False,False
ENQ-0193,110,3,Resolved,,False,False
ENQ-0254,308,16,Resolved,,False,True
ENQ-0298,76,13,Resolved,,True,False
ENQ-0313,97,23,Resolved,,False,False
ENQ-0346,117,18,Resolved,,False,False
ENQ-0371,100,4,Resolved,4.5,False,False
ENQ-0393,109,23,Resolved,,False,False
ENQ-0514,1820,20,Escalated,3.5,False,True
ENQ-0534,130,15,Resolved,,False,False
ENQ-0555,189,16,Escalated,,False,False
ENQ-0584,136,12,Resolved,3.8,False,False
ENQ-0594,116,25,Resolved,,False,True
ENQ-0640,537,3,Resolved,,False,False
ENQ-0699,175,11,Resolved,,False,False
ENQ-0744,107,14,Resolved,3.8,False,False
ENQ-0755,185,19,Resolved,4.0,False,False
ENQ-0860,94,21,Escalated,,False,False
ENQ-0868,53,20,Resolved,,False,True
ENQ-0007,185,30,Escalated,5.0,False,False
ENQ-0088,98,21,Resolved,,False,True
ENQ-0089,215,11,Resolved,,False,False
ENQ-0093,456,20,Resolved,,False,True
ENQ-0117,325,29,Resolved,,False,False
ENQ-0125,68,18,Resolved,,False,True
ENQ-0156,471,18,Resolved,2.5,False,True
ENQ-0178,155,22,Resolved,,True,False
ENQ-0198,238,30,Escalated,,False,True
ENQ-0213,154,7,Resolved,2.8,False,False
ENQ-0228,93,13,Resolved,,False,False
ENQ-0230,148,13,Resolved,,True,False
ENQ-0243,194,15,Resolved,4.0,False,False
ENQ-0270,150,14,Resolved,,False,True
ENQ-0272,187,12,Resolved,,True,False
ENQ-0299,285,25,Resolved,,False,False
ENQ-0312,975,24,Escalated,,False,False
ENQ-0320,579,11,Resolved,,False,False
ENQ-0361,1843,16,Escalated,5.0,False,False
ENQ-0373,122,10,Escalated,3.8,False,False
ENQ-0457,91,20,Escalated,4.2,False,False
ENQ-0541,263,9,Resolved,,False,False
ENQ-0572,1089,44,Resolved,,False,True
ENQ-0616,352,11,Resolved,,False,False
ENQ-0637,97,14,Resolved,,False,False
ENQ-0649,469,15,Resolved,3.2,False,True
ENQ-0703,80,47,Escalated,,False,True
ENQ-0722,215,3,Resolved,,False,False
ENQ-0766,290,22,Resolved,4.7,False,True
ENQ-0771,50,15,Escalated,,False,False
ENQ-0779,914,22,Resolved,4.3,False,False
ENQ-0037,371,15,Resolved,1.0,False,False
ENQ-0073,359,33,Resolved,4.0,False,False
ENQ-0157,608,21,Resolved,,False,False
ENQ-0184,59,31,Resolved,,False,False
ENQ-0202,132,34,Resolved,4.2,False,False
ENQ-0207,83,16,Resolved,3.9,False,False
ENQ-0255,306,17,Resolved,,False,True
ENQ-0267,263,19,Resolved,,False,False
ENQ-0306,202,18,Resolved,4.0,False,False
ENQ-0329,235,10,Resolved,3.5,False,False
ENQ-0333,531,7,Resolved,,False,False
ENQ-0343,2226,7,Resolved,,False,False
ENQ-0391,318,14,Resolved,,False,False
ENQ-0395,217,8,Resolved,,False,False
ENQ-0463,602,9,Resolved,,True,False
ENQ-0484,170,11,Escalated,,False,False
ENQ-0499,180,3,Resolved,,False,False
ENQ-0509,266,24,Resolved,,False,True
ENQ-0516,111,15,Resolved,3.2,False,False
ENQ-0528,92,23,Resolved,3.3,False,True
ENQ-0543,364,54,Resolved,3.1,False,True
ENQ-0564,214,29,Resolved,,False,True
ENQ-0593,193,23,Resolved,1.9,False,False
ENQ-0620,194,20,Resolved,3.1,False,True
ENQ-0632,268,13,Resolved,3.9,False,True
ENQ-0739,181,19,Resolved,,False,False
ENQ-0767,82,23,Resolved,5.0,False,False
ENQ-0772,145,7,Resolved,2.9,False,False
ENQ-0773,259,31,Resolved,,False,False
ENQ-0775,168,17,Resolved,3.3,False,True
ENQ-0825,285,22,Resolved,5.0,False,False
ENQ-0880,79,20,Resolved,4.5,False,False
ENQ-0881,654,29,Escalated,,False,False
ENQ-0884,184,10,Resolved,4.5,False,True
ENQ-0031,408,24,Resolved,,False,False
ENQ-0067,295,15,Resolved,,False,False
ENQ-0074,95,30,Resolved,4.7,True,True
ENQ-0120,572,21,Resolved,,False,False
ENQ-0128,1006,11,Resolved,3.2,False,True
ENQ-0227,242,20,Resolved,,False,False
ENQ-0323,111,38,Resolved,,False,False
ENQ-0347,138,28,Resolved,3.0,False,False
ENQ-0356,236,54,Escalated,,False,False
ENQ-0369,367,10,Resolved,1.9,False,True
ENQ-0386,56,14,Resolved,,False,False
ENQ-0388,278,39,Resolved,,False,True
ENQ-0478,50,17,Resolved,,True,False
ENQ-0635,580,23,Escalated,3.3,False,False
ENQ-0738,248,15,Resolved,3.6,False,False
ENQ-0760,219,37,Resolved,3.4,False,True
ENQ-0808,84,23,Resolved,,False,True
ENQ-0811,1649,51,Escalated,3.6,False,True
ENQ-0814,231,33,Resolved,3.8,True,False
ENQ-0817,125,14,Resolved,,False,False
ENQ-0839,465,28,Resolved,,False,False
ENQ-0893,214,21,Resolved,,False,True
ENQ-0005,124,5,Resolved,,False,False
ENQ-0020,131,38,Resolved,,False,True
ENQ-0081,193,9,Resolved,,False,False
ENQ-0242,196,8,Resolved,,False,False
ENQ-0259,418,36,Resolved,3.2,False,True
ENQ-0276,374,16,Resolved,,False,False
ENQ-0295,86,7,Escalated,3.0,False,False
ENQ-0421,471,41,Escalated,,False,False
ENQ-0477,191,42,Resolved,,False,False
ENQ-0489,140,11,Resolved,,True,True
ENQ-0518,195,20,Resolved,3.4,False,False
ENQ-0523,253,29,Resolved,,False,False
ENQ-0542,309,12,Resolved,,False,False
ENQ-0576,207,21,Escalated,,False,False
ENQ-0582,70,14,Escalated,,False,False
ENQ-0589,772,25,Resolved,,False,False
ENQ-0634,101,4,Resolved,,False,False
ENQ-0663,94,5,Resolved,4.9,False,False
ENQ-0694,314,12,Resolved,3.5,False,False
ENQ-0720,110,22,Resolved,3.7,False,False
ENQ-0730,47,27,Resolved,,True,False
ENQ-0754,123,17,Resolved,,False,True
ENQ-0797,95,18,Resolved,4.6,False,True
ENQ-0834,37,11,Resolved,5.0,False,True
ENQ-0840,466,17,Resolved,,False,False
ENQ-0844,188,20,Resolved,,False,False
ENQ-0003,381,17,Resolved,2.8,False,False
ENQ-0024,755,17,Resolved,,False,True
ENQ-0041,182,16,Resolved,,True,False
ENQ-0075,365,25,Escalated,1.6,False,True
ENQ-0094,778,13,Resolved,1.7,False,False
ENQ-0098,421,12,Resolved,2.0,False,False
ENQ-0112,263,5,Resolved,,False,False
ENQ-0124,65,15,Resolved,,False,True
ENQ-0183,140,5,Resolved,,False,False
ENQ-0224,98,41,Resolved,,False,True
ENQ-0271,417,13,Escalated,2.5,False,False
ENQ-0341,95,20,Resolved,,False,True
ENQ-0358,76,4,Resolved,,False,False
ENQ-0404,320,26,Resolved,,False,False
ENQ-0433,163,13,Resolved,,False,True
ENQ-0465,630,10,Escalated,,False,False
ENQ-0519,771,19,Resolved,3.1,False,True
ENQ-0539,130,27,Resolved,,False,False
ENQ-0561,110,18,Resolved,,True,False
ENQ-0622,132,24,Resolved,4.7,True,False
ENQ-0647,971,22,Resolved,,False,True
ENQ-0665,42,25,Escalated,,False,False
ENQ-0680,418,12,Escalated,,False,False
ENQ-0756,70,28,Resolved,5.0,False,False
ENQ-0759,171,17,Resolved,,False,True
ENQ-0786,508,15,Resolved,3.8,False,False
ENQ-0823,197,20,Resolved,,False,False
ENQ-0837,188,21,Resolved,2.2,False,True
ENQ-0838,203,35,Resolved,,False,False
ENQ-0843,21,17,Resolved,,False,False
ENQ-0888,42,18,Resolved,,False,False
ENQ-0890,382,10,Resolved,,False,False
ENQ-0892,202,7,Resolved,,False,False
ENQ-0000,252,14,Resolved,4.5,False,False
ENQ-0027,254,17,Resolved,,False,False
ENQ-0068,386,11,Resolved,1.0,False,False
ENQ-0082,106,12,Resolved,4.6,False,False
ENQ-0177,347,3,Escalated,3.4,False,False
ENQ-0201,455,13,Escalated,4.1,False,True
ENQ-0212,108,18,Resolved,,False,False
ENQ-0290,348,29,Resolved,,False,False
ENQ-0301,473,39,Resolved,,False,False
ENQ-0409,156,15,Resolved,4.3,False,False
ENQ-0435,337,10,Resolved,,False,True
ENQ-0452,123,39,Resolved,3.6,False,True
ENQ-0460,98,3,Resolved,,False,False
ENQ-0461,571,30,Resolved,,False,False
ENQ-0486,251,21,Resolved,,False,False
ENQ-0512,90,24,Resolved,4.3,True,True
ENQ-0550,151,14,Resolved,,False,True
ENQ-0554,138,19,Escalated,3.6,False,True
ENQ-0560,83,19,Resolved,5.0,False,True
ENQ-0573,81,19,Resolved,,False,False
ENQ-0614,855,25,Resolved,,False,True
ENQ-0638,222,16,Resolved,,False,False
ENQ-0642,198,30,Resolved,,False,False
ENQ-0669,186,7,Resolved,,False,False
ENQ-0695,87,12,Resolved,,False,False
ENQ-0707,135,18,Resolved,4.1,False,False
ENQ-0752,98,19,Resolved,,False,False
ENQ-0765,14,45,Resolved,,True,False
ENQ-0778,142,12,Resolved,,False,False
ENQ-0780,760,23,Resolved,,False,True
ENQ-0788,140,5,Resolved,,False,False
ENQ-0789,201,18,Resolved,,False,False
ENQ-0794,266,18,Resolved,,False,True
ENQ-0812,148,16,Resolved,4.8,False,True
ENQ-0813,273,7,Resolved,,False,False
ENQ-0862,304,18,Resolved,,False,True
ENQ-0026,173,4,Resolved,,False,False
ENQ-0042,844,13,Escalated,4.6,False,False
ENQ-0076,62,14,Resolved,5.0,False,False
ENQ-0115,567,27,Resolved,,False,False
ENQ-0132,95,20,Resolved,4.2,False,True
ENQ-0190,141,15,Resolved,,False,False
ENQ-0197,466,55,Escalated,1.8,False,True
ENQ-0292,173,34,Resolved,3.0,False,False
ENQ-0305,311,26,Resolved,4.2,False,False
ENQ-0328,327,18,Resolved,,False,True
ENQ-0362,44,12,Resolved,,False,False
ENQ-0376,162,15,Resolved,,False,False
ENQ-0412,223,19,Resolved,,False,False
ENQ-0429,268,9,Resolved,4.2,False,False
ENQ-0440,226,46,Resolved,,False,False
ENQ-0473,112,14,Resolved,,True,True
ENQ-0474,1189,19,Resolved,5.0,False,True
ENQ-0480,405,8,Resolved,,True,True
ENQ-0485,332,15,Resolved,5.0,False,False
ENQ-0494,404,17,Resolved,,False,False
ENQ-0532,57,10,Resolved,,False,False
ENQ-0601,226,27,Resolved,,False,False
ENQ-0656,143,17,Resolved,,True,False
ENQ-0712,1446,36,Resolved,,False,False
ENQ-0785,251,8,Resolved,,False,False
ENQ-0854,96,7,Resolved,,False,False
ENQ-0869,301,18,Resolved,,False,True
ENQ-0896,137,13,Resolved,4.4,True,True
ENQ-0017,249,13,Resolved,,False,False
ENQ-0040,108,6,Resolved,4.9,False,False
ENQ-0110,528,19,Resolved,4.4,False,False
ENQ-0131,458,14,Escalated,,False,True
ENQ-0148,153,10,Resolved,3.4,False,False
ENQ-0171,286,12,Resolved,,False,True
ENQ-0210,609,37,Resolved,3.4,False,False
ENQ-0479,248,21,Resolved,,False,False
ENQ-0482,616,36,Escalated,,False,True
ENQ-0500,105,11,Resolved,,False,False
ENQ-0540,211,26,Resolved,,False,False
ENQ-0595,133,14,Resolved,,False,False
ENQ-0657,169,16,Resolved,,False,True
ENQ-0662,448,11,Resolved,,False,False
ENQ-0668,202,14,Resolved,,False,False
ENQ-0718,1764,11,Resolved,2.8,False,True
ENQ-0746,1511,16,Resolved,1.0,False,True
ENQ-0747,51,12,Resolved,,False,False
ENQ-0749,842,26,Resolved,,False,False
ENQ-0792,204,19,Resolved,,False,False
ENQ-0795,101,20,Resolved,,False,True
ENQ-0810,95,8,Resolved,4.3,True,False
ENQ-0849,1357,42,Resolved,5.0,False,False
ENQ-0850,171,8,Resolved,,False,False
ENQ-0859,1144,13,Resolved,2.7,False,False
ENQ-0861,282,12,Resolved,,False,False
ENQ-0873,62,21,Resolved,4.4,False,False
ENQ-0033,142,8,Resolved,,False,False
ENQ-0079,106,19,Escalated,,False,False
ENQ-0121,77,15,Resolved,,False,False
ENQ-0135,232,8,Resolved,,False,False
ENQ-0158,200,16,Resolved,3.7,False,False
ENQ-0219,69,16,Resolved,,False,False
ENQ-0222,196,9,Resolved,,False,False
ENQ-0246,172,25,Resolved,4.2,True,False
ENQ-0268,307,31,Resolved,,True,False
ENQ-0273,235,39,Resolved,,False,False
ENQ-0339,182,21,Resolved,,False,True
ENQ-0424,642,8,Resolved,,True,False
ENQ-0437,62,13,Resolved,,False,False
ENQ-0450,101,13,Resolved,,False,False
ENQ-0472,1064,30,Resolved,,False,False
ENQ-0490,85,11,Resolved,3.8,True,False
ENQ-0497,1125,14,Resolved,3.4,False,False
ENQ-0502,317,14,Escalated,,False,False
ENQ-0503,80,3,Resolved,3.9,False,False
ENQ-0591,206,24,Escalated,,False,False
ENQ-0617,298,15,Resolved,,False,False
ENQ-0618,129,17,Resolved,2.1,False,True
ENQ-0626,525,31,Resolved,,False,False
ENQ-0644,52,21,Resolved,4.3,False,False
ENQ-0645,239,13,Resolved,,False,False
ENQ-0655,277,16,Escalated,4.1,False,False
ENQ-0679,75,18,Resolved,4.8,False,False
ENQ-0715,338,14,Resolved,3.8,False,False
ENQ-0802,199,10,Escalated,,False,True
ENQ-0846,266,17,Resolved,,False,False
ENQ-0853,297,15,Resolved,4.0,False,True
ENQ-0872,203,13,Resolved,,False,True
ENQ-0897,744,21,Escalated,,False,False
ENQ-0015,407,26,Resolved,,False,True
ENQ-0016,330,17,Resolved,,True,True
ENQ-0025,27,15,Resolved,5.0,False,False
ENQ-0045,452,11,Resolved,,False,False
ENQ-0083,123,14,Resolved,,False,False
ENQ-0113,43,37,Escalated,4.8,False,True
ENQ-0122,144,20,Resolved,,False,False
ENQ-0232,121,16,Escalated,3.7,False,True
ENQ-0238,139,18,Resolved,3.6,False,False
ENQ-0244,298,10,Resolved,,False,False
ENQ-0332,323,3,Resolved,,False,False
ENQ-0389,117,14,Resolved,,False,False
ENQ-0396,77,18,Resolved,,False,False
ENQ-0444,101,18,Resolved,4.4,False,False
ENQ-0456,877,15,Resolved,3.4,False,False
ENQ-0504,34,10,Resolved,4.9,False,False
ENQ-0508,126,32,Escalated,,False,False
ENQ-0510,977,17,Resolved,1.4,False,False
ENQ-0551,112,42,Resolved,,False,False
ENQ-0606,75,21,Resolved,,False,True
ENQ-0659,236,20,Resolved,,False,False
ENQ-0692,92,22,Resolved,4.2,False,True
ENQ-0702,119,20,Resolved,5.0,False,True
ENQ-0719,376,41,Escalated,,False,False
ENQ-0770,253,6,Resolved,2.7,False,False
ENQ-0777,118,18,Resolved,,False,False
ENQ-0827,150,12,Resolved,,False,False
ENQ-0894,179,45,Resolved,,False,False
ENQ-0019,279,16,Escalated,,False,False
ENQ-0030,96,25,Resolved,,False,False
ENQ-0049,219,29,Resolved,,False,True
ENQ-0063,527,28,Resolved,4.0,False,False
ENQ-0105,171,43,Escalated,,False,False
ENQ-0116,216,9,Resolved,,False,False
ENQ-0282,110,37,Resolved,4.0,False,False
ENQ-0310,524,15,Resolved,,False,True
ENQ-0331,181,9,Resolved,,False,False
ENQ-0334,179,11,Resolved,3.4,False,False
ENQ-0337,522,18,Resolved,2.6,False,True
ENQ-0351,623,26,Resolved,,False,True
ENQ-0359,530,13,Resolved,,False,True
ENQ-0426,801,28,Resolved,,False,True
ENQ-0442,170,42,Resolved,5.0,False,False
ENQ-0459,489,20,Escalated,2.4,False,False
ENQ-0483,363,11,Resolved,,True,False
ENQ-0491,452,9,Resolved,,False,False
ENQ-0527,282,25,Resolved,,False,False
ENQ-0556,505,13,Resolved,,False,False
ENQ-0603,940,12,Resolved,,False,True
ENQ-0615,202,8,Resolved,,False,False
ENQ-0627,330,9,Resolved,,False,False
ENQ-0639,401,31,Resolved,4.4,False,False
ENQ-0686,1017,26,Resolved,,False,True
ENQ-0726,99,35,Resolved,4.6,False,False
ENQ-0733,120,14,Resolved,5.0,False,False
ENQ-0748,90,5,Resolved,,False,False
ENQ-0757,127,20,Resolved,4.2,False,False
ENQ-0764,105,15,Resolved,3.3,False,False
ENQ-0782,184,21,Resolved,,False,False
ENQ-0845,546,20,Resolved,,False,True
ENQ-0887,113,11,Resolved,2.7,False,False
ENQ-0018,201,20,Resolved,,False,False
ENQ-0035,139,16,Resolved,3.3,False,False
ENQ-0053,175,23,Resolved,,False,False
ENQ-0126,98,12,Resolved,,False,False
ENQ-0143,891,15,Resolved,,False,False
ENQ-0166,137,12,Escalated,,False,True
ENQ-0185,3200,26,Resolved,1.9,False,False
ENQ-0189,46,31,Resolved,4.5,True,False
ENQ-0194,514,10,Resolved,,False,False
ENQ-0266,305,26,Resolved,,False,True
ENQ-0297,108,18,Resolved,,True,False
ENQ-0387,114,14,Resolved,4.0,True,True
ENQ-0399,1473,14,Escalated,,False,True
ENQ-0414,483,13,Resolved,,False,False
ENQ-0464,63,12,Resolved,4.2,True,False
ENQ-0487,166,20,Resolved,,False,False
