order_id,customer_id,order_date,sku,units,amount_sgd,status,delivered_at
ORD-00047,CUS-0017,2026-05-31,SKU-DIA-NB-40,2,57.8,Delivered,2026-06-05
ORD-00048,CUS-0017,2025-12-31,SKU-PAD-DAY-10,3,25.8,Delivered,2026-01-04
ORD-00049,CUS-0017,2026-06-22,SKU-DIA-NB-40,1,86.7,Delivered,2026-06-27
ORD-00050,CUS-0017,2026-04-16,SKU-DIA-NB-40,1,57.8,Delivered,2026-04-18
ORD-00051,CUS-0018,2026-04-02,SKU-WIP-80,2,7.9,Delivered,2026-04-05
ORD-00052,CUS-0018,2026-01-10,SKU-PNT-LGT-14,2,19.8,In transit,
ORD-00053,CUS-0018,2026-01-03,SKU-WIP-80,2,7.9,In transit,
ORD-00054,CUS-0018,2026-04-13,SKU-DIA-M-38,1,61.8,Delivered,2026-04-16
ORD-00055,CUS-0018,2026-01-16,SKU-DIA-NB-40,2,86.7,Delivered,2026-01-19
ORD-00056,CUS-0019,2026-02-17,SKU-DIA-NB-40,3,86.7,Delivered,2026-02-25
ORD-00057,CUS-0019,2026-01-26,SKU-PAD-DAY-10,1,38.7,Delayed,
ORD-00058,CUS-0019,2026-07-14,SKU-DIA-M-38,1,30.9,Delivered,2026-07-22
ORD-00059,CUS-0020,2026-06-01,SKU-PAD-NGT-10,2,14.9,Delivered,2026-06-09
ORD-00060,CUS-0020,2026-08-13,SKU-PNT-LGT-14,1,9.9,Delivered,2026-08-21
ORD-00061,CUS-0021,2026-07-21,SKU-PAD-DAY-10,3,38.7,Delivered,2026-07-27
ORD-00062,CUS-0021,2026-01-20,SKU-DIA-NB-40,2,86.7,Delivered,2026-01-24
ORD-00063,CUS-0021,2025-12-29,SKU-DIA-NB-40,2,28.9,Delivered,2025-12-31
ORD-00064,CUS-0022,2026-02-15,SKU-DIA-NB-40,1,28.9,Delivered,2026-02-19
ORD-00065,CUS-0023,2026-03-08,SKU-WIP-80,2,15.8,Preparing,
ORD-00066,CUS-0024,2026-03-31,SKU-DIA-M-38,1,30.9,Delivered,2026-04-04
ORD-00067,CUS-0024,2026-05-12,SKU-DIA-M-38,1,30.9,Delivered,2026-05-19
ORD-00068,CUS-0024,2026-01-15,SKU-PNT-LGT-14,1,9.9,Preparing,
ORD-00069,CUS-0024,2026-03-03,SKU-DIA-M-38,1,61.8,Preparing,
ORD-00070,CUS-0025,2026-03-04,SKU-PAD-NGT-10,1,29.8,Delivered,2026-03-08
ORD-00071,CUS-0025,2026-06-17,SKU-WIP-80,3,23.7,Delivered,2026-06-21
ORD-00072,CUS-0025,2026-07-29,SKU-WIP-80,2,15.8,Delivered,2026-07-31
ORD-00073,CUS-0025,2026-01-03,SKU-PNT-LGT-14,3,9.9,Delivered,2026-01-09
ORD-00074,CUS-0025,2026-02-07,SKU-PAD-DAY-10,3,38.7,Delayed,
ORD-00075,CUS-0026,2026-03-01,SKU-WIP-80,2,23.7,In transit,
ORD-00076,CUS-0026,2026-04-14,SKU-DIA-NB-40,1,86.7,Delivered,2026-04-22
ORD-00077,CUS-0027,2026-03-14,SKU-PAD-DAY-10,3,25.8,Delivered,2026-03-16
ORD-00078,CUS-0027,2026-07-11,SKU-DIA-M-38,3,30.9,Delivered,2026-07-16
ORD-00079,CUS-0027,2026-05-09,SKU-WIP-80,2,15.8,Delivered,2026-05-14
ORD-00080,CUS-0027,2026-01-30,SKU-DIA-NB-40,1,28.9,Preparing,
ORD-00081,CUS-0028,2026-05-02,SKU-PNT-LGT-14,3,9.9,Preparing,
ORD-00082,CUS-0028,2026-04-12,SKU-DIA-NB-40,3,28.9,Delivered,2026-04-14
ORD-00083,CUS-0029,2026-08-14,SKU-DIA-M-38,2,92.7,Delivered,2026-08-18
ORD-00084,CUS-0029,2026-02-28,SKU-WIP-80,3,15.8,In transit,
ORD-00085,CUS-0030,2026-04-22,SKU-PAD-NGT-10,1,44.7,Returned,
ORD-00086,CUS-0030,2026-06-04,SKU-PAD-NGT-10,1,14.9,Delivered,2026-06-11
ORD-00087,CUS-0030,2026-02-04,SKU-WIP-80,1,7.9,Delivered,2026-02-06
ORD-00088,CUS-0030,2026-07-12,SKU-PNT-LGT-14,2,9.9,Delivered,2026-07-14
ORD-00089,CUS-0030,2026-02-24,SKU-DIA-M-38,2,61.8,Delivered,2026-03-03
ORD-00090,CUS-0031,2026-08-20,SKU-PNT-LGT-14,1,9.9,Preparing,
ORD-00091,CUS-0031,2026-03-10,SKU-PAD-NGT-10,2,14.9,Delivered,2026-03-12
ORD-00092,CUS-0031,2026-06-26,SKU-DIA-NB-40,1,28.9,Delayed,
ORD-00093,CUS-0032,2025-12-27,SKU-DIA-M-38,3,61.8,Delayed,
ORD-00094,CUS-0032,2026-08-18,SKU-DIA-M-38,2,92.7,Delivered,2026-08-24
ORD-00095,CUS-0033,2026-01-24,SKU-PNT-LGT-14,3,29.7,Delivered,2026-01-30
ORD-00096,CUS-0034,2026-02-28,SKU-DIA-M-38,2,61.8,Preparing,
ORD-00097,CUS-0035,2026-05-08,SKU-DIA-NB-40,1,86.7,Preparing,
ORD-00098,CUS-0036,2026-07-04,SKU-DIA-M-38,2,61.8,Delivered,2026-07-09
ORD-00099,CUS-0036,2026-08-09,SKU-PNT-LGT-14,2,9.9,Delivered,2026-08-15
ORD-00100,CUS-0037,2026-02-02,SKU-WIP-80,2,23.7,Delivered,2026-02-09
ORD-00101,CUS-0037,2026-07-13,SKU-PAD-NGT-10,3,44.7,Delivered,2026-07-20
ORD-00102,CUS-0037,2026-03-12,SKU-PAD-DAY-10,2,38.7,Delivered,2026-03-18
ORD-00103,CUS-0037,2026-03-27,SKU-WIP-80,2,23.7,In transit,
ORD-00104,CUS-0037,2026-04-15,SKU-DIA-M-38,3,92.7,Delivered,2026-04-17
ORD-00105,CUS-0038,2025-12-28,SKU-WIP-80,2,7.9,Preparing,
ORD-00106,CUS-0038,2026-04-04,SKU-DIA-M-38,3,30.9,Delivered,2026-04-06
ORD-00107,CUS-0038,2026-05-20,SKU-PNT-LGT-14,2,29.7,Delivered,2026-05-22
ORD-00108,CUS-0038,2026-06-07,SKU-DIA-NB-40,2,57.8,Delivered,2026-06-14
ORD-00109,CUS-0039,2026-02-24,SKU-PAD-NGT-10,2,14.9,Delivered,2026-03-03
ORD-00110,CUS-0040,2026-02-20,SKU-PNT-LGT-14,3,29.7,Delivered,2026-02-28
ORD-00111,CUS-0041,2026-06-30,SKU-PAD-DAY-10,3,12.9,Delivered,2026-07-07
ORD-00112,CUS-0041,2026-08-08,SKU-PNT-LGT-14,2,9.9,In transit,
ORD-00113,CUS-0041,2026-04-12,SKU-PAD-DAY-10,1,38.7,Delivered,2026-04-18
ORD-00114,CUS-0041,2026-08-02,SKU-DIA-M-38,1,30.9,Delivered,2026-08-05
ORD-00115,CUS-0041,2026-02-12,SKU-PAD-NGT-10,1,44.7,Delivered,2026-02-19
ORD-00116,CUS-0042,2026-05-05,SKU-DIA-NB-40,3,57.8,In transit,
ORD-00117,CUS-0042,2026-06-09,SKU-PNT-LGT-14,2,9.9,Delivered,2026-06-15
ORD-00118,CUS-0042,2026-02-19,SKU-PNT-LGT-14,1,29.7,In transit,
ORD-00119,CUS-0042,2026-06-16,SKU-PAD-DAY-10,1,38.7,Delivered,2026-06-24
ORD-00120,CUS-0042,2026-03-17,SKU-WIP-80,1,7.9,Delayed,
ORD-00121,CUS-0043,2026-04-08,SKU-PAD-DAY-10,2,25.8,Delayed,
ORD-00122,CUS-0043,2026-05-29,SKU-PAD-DAY-10,2,38.7,Delayed,
ORD-00123,CUS-0044,2026-05-02,SKU-PNT-LGT-14,2,19.8,Delivered,2026-05-07
ORD-00124,CUS-0044,2026-06-03,SKU-WIP-80,3,7.9,Delivered,2026-06-07
ORD-00125,CUS-0044,2026-07-10,SKU-PNT-LGT-14,3,19.8,Delayed,
ORD-00126,CUS-0045,2026-03-08,SKU-WIP-80,1,7.9,Delivered,2026-03-13
ORD-00127,CUS-0045,2026-05-11,SKU-PAD-NGT-10,3,29.8,Delivered,2026-05-14
ORD-00128,CUS-0046,2026-05-26,SKU-PNT-LGT-14,2,29.7,Delivered,2026-06-02
ORD-00129,CUS-0046,2026-02-21,SKU-WIP-80,2,7.9,Delivered,2026-02-26
ORD-00130,CUS-0047,2026-05-06,SKU-WIP-80,2,15.8,Delivered,2026-05-14
ORD-00131,CUS-0047,2026-07-06,SKU-WIP-80,3,23.7,Delayed,
ORD-00132,CUS-0048,2026-01-22,SKU-PNT-LGT-14,1,29.7,Preparing,
ORD-00133,CUS-0049,2026-03-31,SKU-WIP-80,2,15.8,Delivered,2026-04-04
ORD-00134,CUS-0049,2026-06-12,SKU-DIA-M-38,1,61.8,Delivered,2026-06-18
ORD-00135,CUS-0049,2026-08-04,SKU-PNT-LGT-14,2,9.9,In transit,
ORD-00136,CUS-0049,2026-06-13,SKU-PAD-DAY-10,2,12.9,Delivered,2026-06-18
ORD-00137,CUS-0049,2026-03-10,SKU-DIA-NB-40,3,28.9,Preparing,
ORD-00138,CUS-0050,2026-02-27,SKU-PAD-NGT-10,2,14.9,Delivered,2026-03-03
ORD-00139,CUS-0050,2026-06-08,SKU-DIA-M-38,3,61.8,Delivered,2026-06-13
ORD-00140,CUS-0050,2026-07-04,SKU-DIA-NB-40,1,86.7,Delivered,2026-07-09
ORD-00141,CUS-0051,2026-03-10,SKU-PAD-NGT-10,3,14.9,Delivered,2026-03-18
ORD-00142,CUS-0052,2026-03-22,SKU-DIA-NB-40,1,86.7,Delivered,2026-03-25
ORD-00143,CUS-0052,2026-07-13,SKU-DIA-M-38,2,92.7,Delayed,
ORD-00144,CUS-0052,2026-01-28,SKU-WIP-80,3,7.9,Delivered,2026-01-31
ORD-00145,CUS-0052,2026-05-22,SKU-PNT-LGT-14,3,29.7,In transit,
ORD-00146,CUS-0053,2026-06-03,SKU-PAD-DAY-10,1,25.8,Delivered,2026-06-10
ORD-00147,CUS-0053,2026-08-05,SKU-PAD-DAY-10,1,38.7,Delivered,2026-08-12
ORD-00148,CUS-0053,2026-01-22,SKU-DIA-NB-40,2,86.7,Delivered,2026-01-28
ORD-00149,CUS-0053,2026-03-22,SKU-WIP-80,2,23.7,Delivered,2026-03-25
ORD-00150,CUS-0053,2026-03-10,SKU-PAD-DAY-10,3,12.9,In transit,
ORD-00151,CUS-0054,2026-02-27,SKU-PAD-DAY-10,3,25.8,Returned,
ORD-00152,CUS-0055,2026-06-15,SKU-DIA-NB-40,1,86.7,Delivered,2026-06-20
ORD-00153,CUS-0055,2026-03-22,SKU-WIP-80,3,7.9,Delivered,2026-03-30
ORD-00154,CUS-0055,2026-05-11,SKU-PAD-DAY-10,2,38.7,Delayed,
ORD-00155,CUS-0055,2026-08-03,SKU-DIA-NB-40,1,57.8,In transit,
ORD-00156,CUS-0055,2026-01-24,SKU-PAD-DAY-10,2,38.7,Delayed,
ORD-00157,CUS-0056,2026-02-17,SKU-DIA-M-38,1,30.9,Delayed,
ORD-00158,CUS-0056,2026-05-08,SKU-DIA-M-38,1,30.9,Delivered,2026-05-10
ORD-00159,CUS-0057,2026-03-31,SKU-PNT-LGT-14,2,9.9,Delivered,2026-04-05
ORD-00160,CUS-0057,2026-03-31,SKU-WIP-80,1,23.7,Delivered,2026-04-02
ORD-00161,CUS-0058,2026-01-02,SKU-PNT-LGT-14,1,19.8,Delivered,2026-01-08
ORD-00162,CUS-0058,2026-06-05,SKU-WIP-80,3,23.7,Delivered,2026-06-13
ORD-00163,CUS-0058,2026-06-24,SKU-DIA-M-38,2,61.8,Delayed,
ORD-00164,CUS-0058,2026-03-07,SKU-DIA-M-38,3,61.8,Delivered,2026-03-09
ORD-00165,CUS-0059,2026-06-07,SKU-WIP-80,1,15.8,Delayed,
ORD-00166,CUS-0060,2026-06-22,SKU-WIP-80,2,23.7,Preparing,
ORD-00167,CUS-0060,2026-07-20,SKU-PAD-NGT-10,3,44.7,Delivered,2026-07-25
ORD-00168,CUS-0060,2026-06-09,SKU-PAD-NGT-10,2,44.7,In transit,
ORD-00169,CUS-0060,2026-07-26,SKU-PAD-NGT-10,1,44.7,Delivered,2026-08-01
ORD-00170,CUS-0061,2026-06-26,SKU-PNT-LGT-14,1,19.8,Delivered,2026-07-03
ORD-00171,CUS-0062,2026-03-27,SKU-DIA-M-38,1,30.9,Delivered,2026-03-31
ORD-00172,CUS-0062,2026-06-30,SKU-PAD-NGT-10,1,14.9,Delayed,
ORD-00173,CUS-0062,2026-06-02,SKU-PAD-DAY-10,3,38.7,Delivered,2026-06-09
ORD-00174,CUS-0063,2026-04-02,SKU-DIA-M-38,2,30.9,Delivered,2026-04-05
ORD-00175,CUS-0063,2026-01-11,SKU-PAD-DAY-10,1,25.8,Delivered,2026-01-17
ORD-00176,CUS-0064,2026-08-08,SKU-PAD-DAY-10,1,38.7,Delivered,2026-08-12
ORD-00177,CUS-0065,2026-08-16,SKU-PAD-DAY-10,3,38.7,Delivered,2026-08-23
ORD-00178,CUS-0066,2026-08-13,SKU-PAD-NGT-10,2,29.8,Delivered,2026-08-19
ORD-00179,CUS-0066,2026-07-27,SKU-PAD-DAY-10,1,12.9,Delivered,2026-08-03
ORD-00180,CUS-0066,2026-01-17,SKU-WIP-80,3,23.7,Delivered,2026-01-19
ORD-00181,CUS-0066,2026-07-22,SKU-PAD-NGT-10,1,29.8,Preparing,
ORD-00182,CUS-0066,2026-06-29,SKU-PAD-DAY-10,1,12.9,Delivered,2026-07-07
ORD-00183,CUS-0067,2026-07-08,SKU-PAD-DAY-10,3,12.9,Delivered,2026-07-15
ORD-00184,CUS-0068,2026-06-16,SKU-DIA-M-38,3,92.7,In transit,
ORD-00185,CUS-0068,2026-05-16,SKU-DIA-M-38,3,92.7,Delayed,
ORD-00186,CUS-0068,2026-03-20,SKU-DIA-M-38,2,61.8,In transit,
ORD-00187,CUS-0069,2026-06-25,SKU-PNT-LGT-14,1,9.9,Delivered,2026-07-01
ORD-00188,CUS-0069,2026-01-31,SKU-PNT-LGT-14,3,19.8,Delivered,2026-02-03
ORD-00189,CUS-0069,2026-01-11,SKU-DIA-M-38,2,30.9,Preparing,
ORD-00190,CUS-0070,2026-07-30,SKU-WIP-80,2,23.7,In transit,
ORD-00191,CUS-0070,2026-08-03,SKU-PAD-NGT-10,3,44.7,Delivered,2026-08-10
ORD-00192,CUS-0070,2026-05-19,SKU-PAD-DAY-10,1,12.9,In transit,
ORD-00193,CUS-0071,2026-03-12,SKU-PNT-LGT-14,1,19.8,Delayed,
ORD-00194,CUS-0071,2026-05-08,SKU-PNT-LGT-14,2,9.9,Delivered,2026-05-12
ORD-00195,CUS-0071,2026-08-19,SKU-PAD-NGT-10,2,29.8,Delivered,2026-08-25
ORD-00196,CUS-0072,2026-05-30,SKU-PNT-LGT-14,3,29.7,In transit,
ORD-00197,CUS-0072,2026-06-24,SKU-PAD-DAY-10,1,38.7,Returned,
ORD-00198,CUS-0072,2026-05-15,SKU-PNT-LGT-14,2,9.9,Delayed,
ORD-00199,CUS-0072,2026-01-31,SKU-PAD-DAY-10,3,12.9,Preparing,
ORD-00200,CUS-0073,2026-07-27,SKU-PAD-DAY-10,2,38.7,In transit,
ORD-00201,CUS-0074,2026-05-24,SKU-DIA-M-38,3,92.7,Preparing,
ORD-00202,CUS-0074,2026-02-03,SKU-WIP-80,1,23.7,Delivered,2026-02-09
ORD-00203,CUS-0074,2026-06-02,SKU-PAD-NGT-10,1,29.8,In transit,
ORD-00204,CUS-0075,2026-02-08,SKU-DIA-M-38,1,61.8,Delivered,2026-02-12
ORD-00205,CUS-0076,2026-07-12,SKU-DIA-NB-40,2,57.8,Preparing,
ORD-00206,CUS-0076,2026-01-11,SKU-DIA-M-38,2,61.8,In transit,
ORD-00207,CUS-0077,2026-03-09,SKU-PNT-LGT-14,3,19.8,Preparing,
ORD-00208,CUS-0077,2026-03-21,SKU-PAD-NGT-10,2,14.9,In transit,
ORD-00209,CUS-0078,2026-07-16,SKU-DIA-NB-40,1,28.9,Preparing,
ORD-00210,CUS-0078,2026-02-07,SKU-DIA-NB-40,3,57.8,Delivered,2026-02-13
ORD-00211,CUS-0078,2026-04-28,SKU-DIA-NB-40,1,57.8,Delayed,
ORD-00212,CUS-0079,2026-03-03,SKU-WIP-80,3,23.7,In transit,
ORD-00213,CUS-0080,2026-02-17,SKU-WIP-80,2,7.9,Delivered,2026-02-24
ORD-00214,CUS-0081,2026-05-14,SKU-PAD-NGT-10,2,44.7,Delivered,2026-05-20
ORD-00215,CUS-0082,2026-05-31,SKU-DIA-M-38,2,61.8,Returned,
ORD-00216,CUS-0082,2026-08-01,SKU-DIA-M-38,2,92.7,Delivered,2026-08-06
ORD-00217,CUS-0082,2026-02-25,SKU-PNT-LGT-14,2,9.9,Delivered,2026-03-05
ORD-00218,CUS-0082,2026-04-12,SKU-DIA-NB-40,2,57.8,In transit,
ORD-00219,CUS-0083,2026-04-04,SKU-DIA-NB-40,2,28.9,Delivered,2026-04-12
ORD-00220,CUS-0083,2026-08-05,SKU-DIA-NB-40,2,86.7,Delivered,2026-08-11
ORD-00221,CUS-0084,2026-06-06,SKU-PNT-LGT-14,3,19.8,Delivered,2026-06-12
ORD-00222,CUS-0085,2026-02-01,SKU-PNT-LGT-14,3,19.8,Delivered,2026-02-08
ORD-00223,CUS-0085,2025-12-30,SKU-PNT-LGT-14,3,19.8,Delivered,2026-01-06
ORD-00224,CUS-0086,2025-12-29,SKU-DIA-M-38,1,30.9,Delivered,2026-01-06
ORD-00225,CUS-0086,2025-12-27,SKU-DIA-NB-40,3,28.9,Delivered,2025-12-31
ORD-00226,CUS-0086,2026-01-24,SKU-DIA-M-38,3,92.7,Returned,
ORD-00227,CUS-0087,2026-07-26,SKU-PNT-LGT-14,1,9.9,In transit,
ORD-00228,CUS-0088,2026-06-22,SKU-PNT-LGT-14,1,29.7,Delivered,2026-06-25
ORD-00229,CUS-0088,2026-05-26,SKU-PNT-LGT-14,3,19.8,Delivered,2026-05-31
ORD-00230,CUS-0088,2026-06-14,SKU-PAD-DAY-10,2,25.8,Delivered,2026-06-22
ORD-00231,CUS-0088,2026-01-16,SKU-PAD-NGT-10,3,44.7,Delivered,2026-01-24
ORD-00232,CUS-0089,2026-05-26,SKU-DIA-NB-40,3,86.7,Delayed,
ORD-00233,CUS-0089,2026-06-14,SKU-WIP-80,3,7.9,Delivered,2026-06-18
ORD-00234,CUS-0089,2025-12-30,SKU-DIA-NB-40,2,86.7,Delivered,2026-01-03
ORD-00235,CUS-0090,2026-03-22,SKU-PAD-NGT-10,3,14.9,Delivered,2026-03-29
ORD-00236,CUS-0091,2026-07-03,SKU-PAD-DAY-10,2,38.7,Preparing,
ORD-00237,CUS-0091,2026-01-23,SKU-PAD-NGT-10,1,44.7,Delivered,2026-01-30
ORD-00238,CUS-0091,2026-04-23,SKU-PNT-LGT-14,2,29.7,In transit,
ORD-00239,CUS-0092,2026-02-24,SKU-PAD-DAY-10,2,25.8,Delivered,2026-02-28
ORD-00240,CUS-0092,2026-07-24,SKU-PNT-LGT-14,2,9.9,Delivered,2026-08-01
ORD-00241,CUS-0092,2026-02-23,SKU-DIA-M-38,2,61.8,In transit,
ORD-00242,CUS-0093,2026-01-12,SKU-PNT-LGT-14,2,19.8,Delivered,2026-01-14
ORD-00243,CUS-0094,2026-05-16,SKU-DIA-NB-40,2,28.9,Delivered,2026-05-24
ORD-00244,CUS-0094,2026-06-28,SKU-PAD-DAY-10,2,25.8,Delivered,2026-07-04
ORD-00245,CUS-0094,2026-06-10,SKU-DIA-M-38,3,61.8,Delivered,2026-06-17
ORD-00246,CUS-0095,2026-02-24,SKU-DIA-M-38,1,92.7,In transit,
ORD-00247,CUS-0095,2026-01-25,SKU-WIP-80,3,7.9,In transit,
ORD-00248,CUS-0095,2026-06-16,SKU-DIA-NB-40,1,28.9,Preparing,
ORD-00249,CUS-0096,2026-06-10,SKU-PNT-LGT-14,3,19.8,Delayed,
ORD-00250,CUS-0096,2026-01-08,SKU-PAD-NGT-10,3,29.8,Delivered,2026-01-15
ORD-00251,CUS-0097,2026-05-30,SKU-DIA-M-38,2,61.8,In transit,
ORD-00252,CUS-0097,2026-02-07,SKU-PAD-NGT-10,2,44.7,Delayed,
ORD-00253,CUS-0097,2026-06-06,SKU-PAD-NGT-10,2,44.7,Delivered,2026-06-13
ORD-00254,CUS-0097,2026-05-26,SKU-DIA-M-38,3,61.8,Delivered,2026-05-30
ORD-00255,CUS-0098,2026-05-17,SKU-DIA-NB-40,3,86.7,Delivered,2026-05-22
ORD-00256,CUS-0098,2026-07-18,SKU-PNT-LGT-14,1,29.7,Delivered,2026-07-25
ORD-00257,CUS-0099,2026-03-24,SKU-PAD-NGT-10,3,29.8,Delivered,2026-04-01
ORD-00258,CUS-0099,2026-02-26,SKU-DIA-NB-40,2,86.7,Returned,
ORD-00259,CUS-0099,2026-05-18,SKU-PAD-NGT-10,1,29.8,Delivered,2026-05-25
ORD-00260,CUS-0099,2026-03-21,SKU-PAD-DAY-10,3,25.8,Preparing,
ORD-00261,CUS-0099,2026-01-06,SKU-WIP-80,1,15.8,Delivered,2026-01-10
ORD-00262,CUS-0100,2026-01-13,SKU-PAD-DAY-10,1,12.9,Delivered,2026-01-18
ORD-00263,CUS-0101,2026-06-14,SKU-PAD-DAY-10,2,12.9,Delivered,2026-06-22
ORD-00264,CUS-0101,2026-01-08,SKU-DIA-M-38,2,92.7,Delivered,2026-01-13
ORD-00265,CUS-0102,2026-05-14,SKU-PAD-DAY-10,2,12.9,Delivered,2026-05-19
ORD-00266,CUS-0102,2026-08-15,SKU-PNT-LGT-14,1,19.8,In transit,
ORD-00267,CUS-0102,2026-06-15,SKU-PAD-NGT-10,3,44.7,Delivered,2026-06-19
ORD-00268,CUS-0102,2026-05-15,SKU-WIP-80,1,7.9,Delivered,2026-05-21
ORD-00269,CUS-0102,2026-01-13,SKU-PNT-LGT-14,3,19.8,Delayed,
ORD-00270,CUS-0103,2026-02-22,SKU-PNT-LGT-14,3,19.8,Delivered,2026-02-25
ORD-00271,CUS-0103,2026-07-11,SKU-PAD-DAY-10,3,12.9,Delivered,2026-07-13
ORD-00272,CUS-0103,2026-04-08,SKU-WIP-80,3,7.9,Preparing,
ORD-00273,CUS-0104,2026-04-18,SKU-DIA-NB-40,3,86.7,Delivered,2026-04-24
ORD-00274,CUS-0104,2026-01-01,SKU-PAD-NGT-10,3,14.9,Delivered,2026-01-05
ORD-00275,CUS-0104,2026-03-13,SKU-DIA-M-38,2,30.9,Delivered,2026-03-20
ORD-00276,CUS-0105,2026-07-07,SKU-PAD-DAY-10,3,12.9,Delayed,
ORD-00277,CUS-0105,2026-07-15,SKU-PNT-LGT-14,3,29.7,Preparing,
ORD-00278,CUS-0106,2026-05-11,SKU-PAD-DAY-10,2,25.8,Delayed,
ORD-00279,CUS-0106,2026-06-10,SKU-PAD-NGT-10,1,14.9,Delivered,2026-06-14
ORD-00280,CUS-0106,2026-05-14,SKU-PAD-NGT-10,1,44.7,Delivered,2026-05-21
