enquiry_id,true_topic,true_language,true_is_health,true_order_quoted
ENQ-0273,Refund/return,id,False,True
ENQ-0274,Delivery delay,id,False,False
ENQ-0275,Order status,id,False,True
ENQ-0276,Delivery delay,en,False,True
ENQ-0277,Product usage,en,False,False
ENQ-0278,Sizing,en,False,False
ENQ-0279,Order status,en,False,False
ENQ-0280,Product usage,en,False,False
ENQ-0281,Refund/return,id,False,False
ENQ-0282,Refund/return,id,False,True
ENQ-0283,Where to buy,en,False,False
ENQ-0284,Unclear,en,False,False
ENQ-0285,Order status,id,False,True
ENQ-0286,Order status,ms,False,True
ENQ-0287,Damaged item,en,False,True
ENQ-0288,Unclear,en,False,False
ENQ-0289,Subscription,ms,False,False
ENQ-0290,Delivery delay,id,False,True
ENQ-0291,Health complaint,en,True,False
ENQ-0292,Delivery delay,sg,False,False
ENQ-0293,Product usage,en,False,False
ENQ-0294,Order status,ms,False,False
ENQ-0295,Order status,en,False,False
ENQ-0296,Order status,id,False,True
ENQ-0297,Delivery delay,en,False,False
ENQ-0298,Order status,en,False,False
ENQ-0299,Delivery delay,id,False,True
ENQ-0300,Unclear,id,False,False
ENQ-0301,Refund/return,zh,False,True
ENQ-0302,Where to buy,ms,False,False
ENQ-0303,Subscription,id,False,False
ENQ-0304,Subscription,en,False,False
ENQ-0305,Ingredients,id,False,False
ENQ-0306,Order status,id,False,False
ENQ-0307,Damaged item,id,False,False
ENQ-0308,Refund/return,en,False,False
ENQ-0309,Where to buy,id,False,False
ENQ-0310,Product usage,ms,False,False
ENQ-0311,Order status,id,False,False
ENQ-0312,Unclear,id,False,False
ENQ-0313,Delivery delay,id,False,False
ENQ-0314,Where to buy,zh,False,False
ENQ-0315,Order status,en,False,True
ENQ-0316,Ingredients,id,False,False
ENQ-0317,Delivery delay,en,False,False
ENQ-0318,Order status,en,False,False
ENQ-0319,Where to buy,zh,False,False
ENQ-0320,Sizing,en,False,False
ENQ-0321,Damaged item,ms,False,True
ENQ-0322,Order status,id,False,False
ENQ-0323,Damaged item,en,False,False
ENQ-0324,Unclear,ms,False,False
ENQ-0325,Order status,en,False,False
ENQ-0326,Delivery delay,en,False,False
ENQ-0327,Unclear,zh,False,False
ENQ-0328,Ingredients,id,False,False
ENQ-0329,Where to buy,en,False,False
ENQ-0330,Ingredients,en,False,False
ENQ-0331,Subscription,en,False,False
ENQ-0332,Order status,en,False,False
ENQ-0333,Unclear,en,False,False
ENQ-0334,Order status,en,False,False
ENQ-0335,Order status,sg,False,True
ENQ-0336,Order status,en,False,False
ENQ-0337,Product usage,zh,False,False
ENQ-0338,Where to buy,id,False,False
ENQ-0339,Delivery delay,ms,False,False
ENQ-0340,Health complaint,id,True,False
ENQ-0341,Sizing,id,False,False
ENQ-0342,Refund/return,en,False,True
ENQ-0343,Order status,en,False,False
ENQ-0344,Unclear,id,False,False
ENQ-0345,Refund/return,ms,False,True
ENQ-0346,Damaged item,en,False,False
ENQ-0347,Delivery delay,id,False,False
ENQ-0348,Where to buy,id,False,False
ENQ-0349,Subscription,id,False,False
ENQ-0350,Sizing,id,False,False
ENQ-0351,Ingredients,ms,False,False
ENQ-0352,Where to buy,en,False,False
ENQ-0353,Sizing,id,False,False
ENQ-0354,Refund/return,id,False,True
ENQ-0355,Damaged item,zh,False,True
ENQ-0356,Health complaint,sg,True,False
ENQ-0357,Damaged item,sg,False,False
ENQ-0358,Where to buy,en,False,False
ENQ-0359,Subscription,ms,False,False
ENQ-0360,Product usage,en,False,False
ENQ-0361,Product usage,sg,False,False
ENQ-0362,Ingredients,en,False,False
ENQ-0363,Subscription,en,False,False
ENQ-0364,Where to buy,en,False,False
ENQ-0365,Subscription,ms,False,False
ENQ-0366,Where to buy,en,False,False
ENQ-0367,Damaged item,ms,False,True
ENQ-0368,Where to buy,id,False,False
ENQ-0369,Order status,sg,False,False
ENQ-0370,Subscription,en,False,False
ENQ-0371,Order status,en,False,True
ENQ-0372,Order status,en,False,True
ENQ-0373,Order status,en,False,False
ENQ-0374,Where to buy,ms,False,False
ENQ-0375,Damaged item,en,False,False
ENQ-0376,Product usage,sg,False,False
ENQ-0377,Order status,ms,False,True
ENQ-0378,Sizing,id,False,False
ENQ-0379,Where to buy,sg,False,False
ENQ-0380,Order status,sg,False,False
ENQ-0381,Sizing,en,False,False
ENQ-0382,Where to buy,id,False,False
ENQ-0383,Where to buy,sg,False,False
ENQ-0384,Order status,id,False,False
ENQ-0385,Where to buy,ms,False,False
ENQ-0386,Delivery delay,en,False,True
ENQ-0387,Subscription,id,False,False
ENQ-0388,Damaged item,zh,False,True
ENQ-0389,Product usage,en,False,False
ENQ-0390,Refund/return,sg,False,False
ENQ-0391,Delivery delay,en,False,False
ENQ-0392,Order status,en,False,True
ENQ-0393,Refund/return,en,False,False
ENQ-0394,Delivery delay,ms,False,True
ENQ-0395,Order status,en,False,True
ENQ-0396,Ingredients,en,False,False
ENQ-0397,Product usage,ms,False,False
ENQ-0398,Refund/return,zh,False,False
ENQ-0399,Product usage,ms,False,False
ENQ-0400,Order status,en,False,False
ENQ-0401,Order status,id,False,True
ENQ-0402,Order status,en,False,False
ENQ-0403,Delivery delay,id,False,True
ENQ-0404,Damaged item,en,False,False
ENQ-0405,Refund/return,id,False,False
ENQ-0406,Damaged item,en,False,False
ENQ-0407,Delivery delay,id,False,False
ENQ-0408,Where to buy,ms,False,False
ENQ-0409,Product usage,zh,False,False
ENQ-0410,Refund/return,ms,False,False
ENQ-0411,Order status,en,False,False
ENQ-0412,Product usage,ms,False,False
ENQ-0413,Product usage,en,False,False
ENQ-0414,Order status,en,False,True
ENQ-0415,Sizing,sg,False,False
ENQ-0416,Sizing,en,False,False
ENQ-0417,Order status,en,False,False
ENQ-0418,Order status,id,False,False
ENQ-0419,Sizing,id,False,False
ENQ-0420,Delivery delay,id,False,True
ENQ-0421,Health complaint,en,True,False
ENQ-0422,Damaged item,ms,False,True
ENQ-0423,Order status,sg,False,False
ENQ-0424,Order status,en,False,True
ENQ-0425,Ingredients,id,False,False
ENQ-0426,Product usage,ms,False,False
ENQ-0427,Subscription,zh,False,False
ENQ-0428,Delivery delay,zh,False,False
ENQ-0429,Product usage,en,False,False
ENQ-0430,Unclear,en,False,False
ENQ-0431,Order status,id,False,False
ENQ-0432,Unclear,en,False,False
ENQ-0433,Order status,ms,False,True
ENQ-0434,Where to buy,ms,False,False
ENQ-0435,Order status,id,False,False
ENQ-0436,Product usage,en,False,False
ENQ-0437,Order status,en,False,True
ENQ-0438,Unclear,ms,False,False
ENQ-0439,Refund/return,en,False,False
ENQ-0440,Damaged item,ms,False,False
ENQ-0441,Health complaint,ms,True,False
ENQ-0442,Damaged item,ms,False,True
ENQ-0443,Ingredients,ms,False,False
ENQ-0444,Order status,id,False,True
ENQ-0445,Order status,id,False,False
ENQ-0446,Delivery delay,id,False,False
ENQ-0447,Sizing,zh,False,False
ENQ-0448,Order status,id,False,True
ENQ-0449,Delivery delay,en,False,True
ENQ-0450,Order status,en,False,True
ENQ-0451,Unclear,sg,False,False
ENQ-0452,Damaged item,zh,False,True
ENQ-0453,Order status,ms,False,True
ENQ-0454,Ingredients,ms,False,False
ENQ-0455,Unclear,id,False,False
ENQ-0456,Order status,zh,False,True
ENQ-0457,Delivery delay,id,False,True
ENQ-0458,Delivery delay,sg,False,False
ENQ-0459,Ingredients,sg,False,False
ENQ-0460,Product usage,en,False,False
ENQ-0461,Refund/return,zh,False,False
ENQ-0462,Order status,en,False,True
ENQ-0463,Sizing,sg,False,False
ENQ-0464,Order status,en,False,True
ENQ-0465,Order status,en,False,False
ENQ-0466,Product usage,en,False,False
ENQ-0467,Order status,zh,False,False
ENQ-0468,Product usage,sg,False,False
ENQ-0469,Unclear,en,False,False
ENQ-0470,Damaged item,en,False,False
ENQ-0471,Sizing,ms,False,False
ENQ-0472,Delivery delay,sg,False,False
ENQ-0473,Where to buy,id,False,False
ENQ-0474,Order status,ms,False,True
ENQ-0475,Subscription,id,False,False
ENQ-0476,Unclear,sg,False,False
ENQ-0477,Damaged item,ms,False,False
ENQ-0478,Delivery delay,id,False,True
ENQ-0479,Unclear,id,False,False
ENQ-0480,Where to buy,id,False,False
ENQ-0481,Product usage,sg,False,False
ENQ-0482,Refund/return,sg,False,False
ENQ-0483,Ingredients,en,False,False
ENQ-0484,Where to buy,id,False,False
ENQ-0485,Order status,en,False,True
ENQ-0486,Product usage,id,False,False
ENQ-0487,Sizing,id,False,False
ENQ-0488,Damaged item,ms,False,True
ENQ-0489,Order status,sg,False,True
ENQ-0490,Unclear,en,False,False
ENQ-0491,Product usage,en,False,False
ENQ-0492,Order status,en,False,False
ENQ-0493,Order status,en,False,True
ENQ-0494,Sizing,id,False,False
ENQ-0495,Product usage,zh,False,False
ENQ-0496,Delivery delay,en,False,True
ENQ-0497,Subscription,id,False,False
ENQ-0498,Refund/return,id,False,False
ENQ-0499,Where to buy,en,False,False
ENQ-0500,Order status,en,False,True
ENQ-0501,Unclear,ms,False,False
ENQ-0502,Unclear,en,False,False
ENQ-0503,Where to buy,en,False,False
ENQ-0504,Subscription,en,False,False
ENQ-0505,Order status,en,False,False
ENQ-0506,Sizing,en,False,False
ENQ-0507,Ingredients,id,False,False
ENQ-0508,Damaged item,en,False,False
ENQ-0509,Order status,id,False,False
ENQ-0510,Product usage,sg,False,False
ENQ-0511,Refund/return,ms,False,True
ENQ-0512,Delivery delay,id,False,False
ENQ-0513,Product usage,sg,False,False
ENQ-0514,Sizing,ms,False,False
ENQ-0515,Damaged item,sg,False,False
ENQ-0516,Sizing,en,False,False
ENQ-0517,Delivery delay,en,False,True
ENQ-0518,Product usage,ms,False,False
ENQ-0519,Where to buy,zh,False,False
ENQ-0520,Damaged item,ms,False,False
ENQ-0521,Subscription,id,False,False
ENQ-0522,Where to buy,ms,False,False
ENQ-0523,Delivery delay,sg,False,False
ENQ-0524,Unclear,id,False,False
ENQ-0525,Unclear,id,False,False
ENQ-0526,Product usage,en,False,False
ENQ-0527,Refund/return,en,False,False
ENQ-0528,Product usage,id,False,False
ENQ-0529,Sizing,en,False,False
ENQ-0530,Delivery delay,zh,False,True
ENQ-0531,Refund/return,en,False,False
ENQ-0532,Order status,en,False,False
ENQ-0533,Sizing,en,False,False
ENQ-0534,Delivery delay,en,False,True
ENQ-0535,Product usage,en,False,False
ENQ-0536,Sizing,en,False,False
ENQ-0537,Product usage,sg,False,False
ENQ-0538,Where to buy,id,False,False
ENQ-0539,Sizing,id,False,False
ENQ-0540,Unclear,id,False,False
ENQ-0541,Ingredients,en,False,False
ENQ-0542,Order status,en,False,False
ENQ-0543,Health complaint,id,True,False
ENQ-0544,Product usage,ms,False,False
ENQ-0545,Order status,id,False,True
ENQ-0546,Order status,en,False,False
ENQ-0547,Subscription,en,False,False
ENQ-0548,Ingredients,en,False,False
ENQ-0549,Delivery delay,id,False,False
ENQ-0550,Where to buy,zh,False,False
ENQ-0551,Refund/return,ms,False,False
ENQ-0552,Sizing,id,False,False
ENQ-0553,Delivery delay,id,False,False
ENQ-0554,Ingredients,id,False,False
ENQ-0555,Product usage,ms,False,False
ENQ-0556,Order status,en,False,True
ENQ-0557,Health complaint,id,True,False
ENQ-0558,Delivery delay,id,False,True
ENQ-0559,Refund/return,sg,False,True
ENQ-0560,Unclear,zh,False,False
ENQ-0561,Order status,id,False,False
ENQ-0562,Order status,en,False,False
ENQ-0563,Unclear,ms,False,False
ENQ-0564,Delivery delay,id,False,False
ENQ-0565,Subscription,id,False,False
ENQ-0566,Delivery delay,en,False,False
ENQ-0567,Unclear,en,False,False
ENQ-0568,Product usage,zh,False,False
ENQ-0569,Damaged item,id,False,False
ENQ-0570,Sizing,ms,False,False
ENQ-0571,Refund/return,en,False,False
ENQ-0572,Refund/return,sg,False,True
ENQ-0573,Delivery delay,id,False,True
ENQ-0574,Unclear,id,False,False
ENQ-0575,Health complaint,sg,True,False
ENQ-0576,Delivery delay,en,False,False
ENQ-0577,Product usage,id,False,False
ENQ-0578,Refund/return,en,False,False
ENQ-0579,Delivery delay,en,False,False
ENQ-0580,Delivery delay,sg,False,True
ENQ-0581,Where to buy,id,False,False
ENQ-0582,Order status,en,False,True
ENQ-0583,Product usage,zh,False,False
ENQ-0584,Sizing,en,False,False
ENQ-0585,Delivery delay,en,False,False
ENQ-0586,Delivery delay,id,False,False
ENQ-0587,Order status,ms,False,False
ENQ-0588,Delivery delay,ms,False,True
ENQ-0589,Delivery delay,zh,False,False
ENQ-0590,Order status,id,False,True
ENQ-0591,Ingredients,sg,False,False
ENQ-0592,Product usage,ms,False,False
ENQ-0593,Product usage,ms,False,False
ENQ-0594,Order status,sg,False,True
ENQ-0595,Product usage,ms,False,False
ENQ-0596,Unclear,id,False,False
ENQ-0597,Order status,ms,False,False
ENQ-0598,Subscription,sg,False,False
ENQ-0599,Refund/return,ms,False,False
ENQ-0600,Sizing,ms,False,False
ENQ-0601,Sizing,sg,False,False
ENQ-0602,Delivery delay,zh,False,False
ENQ-0603,Subscription,id,False,False
ENQ-0604,Where to buy,en,False,False
ENQ-0605,Subscription,ms,False,False
ENQ-0606,Order status,id,False,True
ENQ-0607,Product usage,id,False,False
ENQ-0608,Order status,id,False,False
ENQ-0609,Where to buy,id,False,False
ENQ-0610,Delivery delay,id,False,False
ENQ-0611,Subscription,en,False,False
ENQ-0612,Order status,en,False,True
ENQ-0613,Product usage,en,False,False
ENQ-0614,Delivery delay,sg,False,True
ENQ-0615,Sizing,en,False,False
ENQ-0616,Where to buy,id,False,False
ENQ-0617,Product usage,ms,False,False
ENQ-0618,Order status,ms,False,False
ENQ-0619,Product usage,en,False,False
ENQ-0620,Product usage,ms,False,False
ENQ-0621,Product usage,sg,False,False
ENQ-0622,Sizing,id,False,False
ENQ-0623,Sizing,id,False,False
ENQ-0624,Product usage,en,False,False
ENQ-0625,Order status,ms,False,False
ENQ-0626,Delivery delay,ms,False,False
ENQ-0627,Order status,en,False,False
ENQ-0628,Unclear,en,False,False
ENQ-0629,Damaged item,id,False,False
ENQ-0630,Order status,ms,False,False
ENQ-0631,Subscription,en,False,False
ENQ-0632,Subscription,zh,False,False
ENQ-0633,Sizing,id,False,False
ENQ-0634,Subscription,en,False,False
ENQ-0635,Order status,sg,False,True
ENQ-0636,Order status,id,False,False
ENQ-0637,Subscription,en,False,False
ENQ-0638,Order status,en,False,True
ENQ-0639,Refund/return,id,False,False
ENQ-0640,Subscription,en,False,False
ENQ-0641,Order status,ms,False,True
ENQ-0642,Damaged item,en,False,True
ENQ-0643,Sizing,en,False,False
ENQ-0644,Product usage,sg,False,False
ENQ-0645,Sizing,en,False,False
ENQ-0646,Product usage,en,False,False
ENQ-0647,Ingredients,zh,False,False
ENQ-0648,Sizing,id,False,False
ENQ-0649,Delivery delay,sg,False,False
ENQ-0650,Subscription,sg,False,False
ENQ-0651,Refund/return,id,False,True
ENQ-0652,Unclear,id,False,False
ENQ-0653,Order status,id,False,True
ENQ-0654,Ingredients,sg,False,False
ENQ-0655,Order status,sg,False,False
ENQ-0656,Unclear,zh,False,False
ENQ-0657,Order status,id,False,False
ENQ-0658,Refund/return,ms,False,False
ENQ-0659,Unclear,id,False,False
ENQ-0660,Product usage,en,False,False
ENQ-0661,Order status,en,False,False
ENQ-0662,Where to buy,en,False,False
ENQ-0663,Where to buy,en,False,False
ENQ-0664,Subscription,en,False,False
ENQ-0665,Delivery delay,id,False,False
ENQ-0666,Where to buy,id,False,False
ENQ-0667,Order status,id,False,False
ENQ-0668,Where to buy,sg,False,False
ENQ-0669,Subscription,en,False,False
ENQ-0670,Product usage,ms,False,False
ENQ-0671,Product usage,id,False,False
ENQ-0672,Ingredients,en,False,False
ENQ-0673,Order status,zh,False,False
ENQ-0674,Subscription,id,False,False
ENQ-0675,Where to buy,id,False,False
ENQ-0676,Where to buy,en,False,False
ENQ-0677,Health complaint,en,True,False
ENQ-0678,Refund/return,en,False,False
ENQ-0679,Where to buy,id,False,False
ENQ-0680,Unclear,en,False,False
ENQ-0681,Unclear,id,False,False
ENQ-0682,Delivery delay,ms,False,False
ENQ-0683,Order status,ms,False,False
ENQ-0684,Where to buy,ms,False,False
ENQ-0685,Delivery delay,en,False,True
ENQ-0686,Delivery delay,ms,False,True
ENQ-0687,Damaged item,en,False,True
ENQ-0688,Where to buy,zh,False,False
ENQ-0689,Order status,zh,False,False
ENQ-0690,Subscription,zh,False,False
ENQ-0691,Where to buy,id,False,False
ENQ-0692,Ingredients,id,False,False
ENQ-0693,Order status,sg,False,True
ENQ-0694,Subscription,ms,False,False
ENQ-0695,Order status,en,False,True
ENQ-0696,Order status,ms,False,True
ENQ-0697,Sizing,id,False,False
ENQ-0698,Sizing,en,False,False
ENQ-0699,Subscription,en,False,False
ENQ-0700,Product usage,en,False,False
ENQ-0701,Delivery delay,en,False,False
ENQ-0702,Subscription,ms,False,False
ENQ-0703,Refund/return,ms,False,True
ENQ-0704,Ingredients,en,False,False
ENQ-0705,Ingredients,zh,False,False
ENQ-0706,Refund/return,id,False,True
